currentplayer,handle
Steven Adams,RealStevenAdams
Bam Adebayo,Bam1of1
LaMarcus Aldridge,aldridge_12
Kyle Alexander,KyleJamal4
Nickeil Alexander-Walker,NickeilAW
Grayson Allen,GraysonJAllen
Jarrett Allen,_bigjayy_
Kadeem Allen,AllenKadeem
Al-Farouq Aminu,farouq1
Kyle Anderson,KyleAnderson5
Giannis Antetokounmpo,Giannis_An34
Kostas Antetokounmpo,Kostas_ante13
Carmelo Anthony,carmeloanthony
OG Anunoby,OAnunoby
Ryan Arcidiacono,RyArch15
Trevor Ariza,TrevorAriza
D.J. Augustin,augustinDj14
Deandre Ayton,DeandreAyton
Dwayne Bacon,BaconDwayne1000
Lonzo Ball,ZO2_
J.J. Barea,jjbareapr
Harrison Barnes,HBarnes
RJ Barrett,RjBarrett6
Will Barton,WillTheThrillB5
Keita Bates-Diop,KBD_33
Nicolas Batum,nicolas88batum
Aron Baynes,aronbaynes
Kent Bazemore,24Bazemore
Darius Bazley,BazleyDarius
Bradley Beal,RealDealBeal23
Malik Beasley,Mbeasy5
Marco Belinelli,marcobelinelli
DeAndre' Bembry,fearthefro95
Dragan Bender,DBender03
Patrick Beverley,patbev21
Khem Birch,Khem_Birch
Bismack Biyombo,bismackbiyombo
Nemanja Bjelica,NemanjaBjelica
Eric Bledsoe,EBled2
Bol Bol,BolBol
Jordan Bone,JordanBone23
Isaac Bonga,isaacbonga
Devin Booker,DevinBook
Chris Boucher,chrisboucher
Ky Bowman,KyranBowman
Avery Bradley,Avery0Bradley
Tony Bradley,ToBrad1
Jarrell Brantley,jstuntbrantley
Ignas Brazdeikis,_iggy_braz
Mikal Bridges,mikal_bridges
Miles Bridges,MilesBridges
Oshae Brissett,Obrissy
Dillon Brooks,dillonbrooks24
Bruce Brown,BruceBrown11
Jaylen Brown,FCHWPO
Moses Brown,MosesBrown_
Sterling Brown,thatnegus_sb
Jalen Brunson,jalenbrunson1
Thomas Bryant,nolimittb31
Reggie Bullock,ReggieBullock35
Alec Burks,AlecBurks10
Deonte Burton,DeeBurton30
